,,km,km,km,km,by,by,by,by,co,co,co,co
,,davies_bouldin,calinski,silhouette,xie_beni,davies_bouldin,calinski,silhouette,xie_beni,davies_bouldin,calinski,silhouette,xie_beni
data_name,n_byzantines,,,,,,,,,,,,
iris,1,0.6663912107101494,560.3660038653594,0.5509643746707443,0.1645481391003727,0.6299077563452857,423.51801072985984,0.484430434003566,0.1975793467912188,0.6792966701151864,523.3239348526607,0.5188469960029067,0.1884375938635074
iris,2,0.6663912107101494,560.3660038653594,0.5509643746707443,0.1645481391003727,0.4609149133659714,286.1344330309742,0.4570221299192453,0.19850185147779,0.6690341629005112,520.4529653703679,0.5199650610285297,0.1869412647073579
iris,3,0.6663912107101494,560.3660038653594,0.5509643746707443,0.1645481391003727,0.3835952094491397,501.9248640964316,0.6863930543445408,0.0655255223271229,0.6931457218534165,533.9995034157406,0.5221238357457932,0.1877204838723838
iris,4,0.6663912107101494,560.3660038653594,0.5509643746707443,0.1645481391003727,0.3835952094491397,501.9248640964316,0.6863930543445408,0.0655255223271229,0.6571048275568349,513.6064310343911,0.5192061636634666,0.1851895769221164
iris,5,0.6663912107101494,560.3660038653594,0.5509643746707443,0.1645481391003727,0.3835952094491397,501.9248640964316,0.6863930543445408,0.0655255223271229,0.6540245595393166,510.8037881391445,0.5189289003327996,0.1846235729409331
iris,6,0.6663912107101494,560.3660038653594,0.5509643746707443,0.1645481391003727,0.3835952094491397,501.9248640964316,0.6863930543445408,0.0655255223271229,0.6454984713325681,499.0560978860633,0.5167012432501391,0.1842614012615828
vehicule,1,0.6696463753300124,1339.8973749772886,0.4998513631076695,0.2402567070742444,0.7859679220913657,997.7142457849012,0.3883881280166635,2.481815286104608,0.4855902858893381,1923.972750949465,0.6414298128092206,0.0828310650199754
vehicule,2,0.6696463753300124,1339.8973749772886,0.4998513631076695,0.2402567070742444,0.7860385366954812,267.7312613565724,0.1610197729908586,0.4253044174418324,0.473185796018287,1922.5666108939715,0.6434423708714898,0.0800178045788541
vehicule,3,0.6696463753300124,1339.8973749772886,0.4998513631076695,0.2402567070742444,0.7904282295261897,266.2627692482219,0.15871299820028,,0.4984733006210578,1923.404499144736,0.6390161034503429,0.0858989856602327
vehicule,4,0.6696463753300124,1339.8973749772886,0.4998513631076695,0.2402567070742444,,,,,0.5042106675776435,1920.126539126227,0.6347263101675723,0.0826627077294301
vehicule,5,0.6696463753300124,1339.8973749772886,0.4998513631076695,0.2402567070742444,,,,,0.5321619590809733,1914.2892784964563,0.6285087924296929,0.0887488122406949
vehicule,6,0.6696463753300124,1339.8973749772886,0.4998513631076695,0.2402567070742444,,,,,0.5048182036137301,1919.2458190958453,0.6342238845621913,0.082332473440344
breast,1,0.7687767691091282,1016.6289179149508,0.5903259923304784,0.1566575591734766,0.7775464481872659,980.086311891496,0.5803761031871676,0.1650660635063123,0.7619957723358105,1039.014795317071,0.5958294840123304,0.1497071482353835
breast,2,0.7687767691091282,1016.6289179149508,0.5903259923304784,0.1566575591734766,0.8298064410162745,814.2424513847568,0.5361352587983126,0.2055401834839921,0.7619957723358105,1039.014795317071,0.5958294840123304,0.1497071482353835
breast,3,0.7687767691091282,1016.6289179149508,0.5903259923304784,0.1566575591734766,1.2166072165986708,26.912219971363573,-0.2309843547539017,1.430008612294945,0.7619957723358105,1039.014795317071,0.5958294840123304,0.1497071482353835
breast,4,0.7687767691091282,1016.6289179149508,0.5903259923304784,0.1566575591734766,1.062623903803963,0.7239866265729596,-0.2899971381063859,1.3753185642933876,0.7619957723358105,1039.014795317071,0.5958294840123304,0.1497071482353835
breast,5,0.7687767691091282,1016.6289179149508,0.5903259923304784,0.1566575591734766,,,,,0.7619957723358105,1039.014795317071,0.5958294840123304,0.1497071482353835
breast,6,0.7687767691091282,1016.6289179149508,0.5903259923304784,0.1566575591734766,,,,,0.7620504544601359,1039.102945446181,0.596175282649933,0.1493786949956958
